snr_db,ls_mse,ls_nmse,mmse_mse,mmse_nmse,ls_dnn_mse,ls_dnn_nmse
-10.0,7.15068347399485,7.150683473994847,6.965159873252279,6.965159873252275,0.08779627177736223,0.08779627177736218
-5.0,2.0879978663071523,2.0879978663071515,2.0402406865988376,2.0402406865988367,0.13328456131040087,0.13328456131040078
0.0,0.6468286966987566,0.6468286966987563,0.6410704626582783,0.6410704626582779,0.12057521917288128,0.1205752191728812
5.0,0.2148177647393225,0.21481776473932238,0.2146826034376894,0.21468260343768927,0.1154257656858511,0.11542576568585103
10.0,0.06847000383021788,0.0684700038302178,0.06845797078874288,0.0684579707887428,0.061465135570146635,0.061465135570146566
15.0,0.02418818011857373,0.024188180118573707,0.02417432737903084,0.024174327379030813,0.14345495817502488,0.14345495817502474
20.0,0.007550188644703341,0.007550188644703335,0.0075522098749769935,0.007552209874976987,0.11092201725071688,0.11092201725071678
25.0,0.0023818148252943323,0.002381814825294331,0.0023818116208764056,0.002381811620876404,0.06337300146124977,0.06337300146124973
30.0,0.0007369373402944834,0.0007369373402944824,0.0007369549899927295,0.0007369549899927286,0.023559438245638466,0.02355943824563844
