SNR (dB),Total transmitted bits (per seed test set),LS BER mean,LS BER std,Simplified-MMSE BER mean,Simplified-MMSE BER std,LMMSE-flat BER mean,LMMSE-flat BER std,LS+DNN BER mean,LS+DNN BER std
-10.0,1920,0.46059,0.00733289,0.460243,0.00687465,0.412326,0.0192278,0.425347,0.00924224
-5.0,1920,0.385243,0.0116643,0.384722,0.0105661,0.294792,0.00348089,0.314583,0.00938464
0.0,1920,0.236458,0.00410105,0.235243,0.00434375,0.163368,0.00510901,0.176215,0.00346353
5.0,1920,0.0753472,0.00218226,0.075,0.00265574,0.0416667,0.00321063,0.0487847,0.00430191
10.0,1920,0.00434028,0.00149346,0.00434028,0.00149346,0.00104167,0.00073657,0.00138889,0.000245523
15.0,1920,0,0,0,0,0,0,0,0
20.0,1920,0,0,0,0,0,0,0,0
25.0,1920,0,0,0,0,0,0,0,0
30.0,1920,0,0,0,0,0,0,0,0
